"id";"COD_VENDEDOR";"ano";"mes";"tipo";"valor_meta";"data_criacao";"data_atualizacao"
"656";"010389";"2026";"8";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"657";"010389";"2026";"9";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"658";"010389";"2026";"10";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"659";"010389";"2026";"11";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"660";"010389";"2026";"12";"faturamento";"60000,00";"13/02/2026 09:35:45";"17/06/2026 15:16:08"
"723";"010413";"2026";"3";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"724";"010413";"2026";"4";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"725";"010413";"2026";"5";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"726";"010413";"2026";"6";"faturamento";"20000,00";"13/02/2026 09:35:46";"17/06/2026 15:50:47"
"727";"010413";"2026";"7";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"728";"010413";"2026";"8";"faturamento";"18611,75";"13/02/2026 09:35:46";"03/08/2026 16:06:54"
"729";"010413";"2026";"9";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"730";"010413";"2026";"10";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"731";"010413";"2026";"11";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"732";"010413";"2026";"12";"faturamento";"20000,00";"13/02/2026 09:35:46";"19/05/2026 10:54:40"
"796";"010439";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:46";"05/08/2026 10:28:33"
"889";"010475";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:46";"13/02/2026 09:35:46"
"890";"010475";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:46";"13/02/2026 09:35:46"
"891";"010475";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:46";"13/02/2026 09:35:46"
"892";"010475";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:46";"13/02/2026 09:35:46"
"893";"010475";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:46";"13/02/2026 09:35:46"
"894";"010475";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"895";"010475";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"896";"010475";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"897";"010475";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"898";"010475";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"899";"010475";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"900";"010475";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"901";"010476";"2026";"1";"faturamento";"4316,00";"13/02/2026 09:35:47";"19/05/2026 10:54:42"
"902";"010476";"2026";"2";"faturamento";"3924,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"903";"010476";"2026";"3";"faturamento";"3924,00";"13/02/2026 09:35:47";"13/02/2026 09:35:47"
"904";"010476";"2026";"4";"faturamento";"80000,00";"13/02/2026 09:35:47";"07/04/2026 12:25:28"
"925";"010492";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"926";"010492";"2026";"2";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"927";"010492";"2026";"3";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"928";"010492";"2026";"4";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"929";"010492";"2026";"5";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"930";"010492";"2026";"6";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"931";"010492";"2026";"7";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"932";"010492";"2026";"8";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"933";"010492";"2026";"9";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"934";"010492";"2026";"10";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"935";"010492";"2026";"11";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"936";"010492";"2026";"12";"faturamento";"0,00";"13/02/2026 09:35:47";"18/05/2026 16:36:00"
"949";"010504";"2026";"1";"faturamento";"0,00";"13/02/2026 09:35:47";"17/06/2026 15:16:09"
