"cod_municipio";"pea_total";"ano_base_pea";"populacao";"ano_base_pop";"pib_total_reais";"ano_base_pib";"num_supermercados";"supermercados_pessoal_ocupado";"supermercados_massa_salarial_reais";"ano_base_supermercados";"atualizado_em"
"1501576";"6505,00";"2010";"18005,00";"2022";"292675000,00";"2022";"2";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501600";"5669,00";"2010";"12622,00";"2022";"232989000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1501709";"44258,00";"2010";"123082,00";"2022";"1737012000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501725";"6466,00";"2010";"24718,00";"2022";"440739000,00";"2022";"9";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501758";"2860,00";"2010";"6783,00";"2022";"129481000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501782";"18995,00";"2010";"45712,00";"2022";"767219000,00";"2022";"14";"86";"2362000,00";"2024";"21/07/2026 15:42:53"
"1501808";"33057,00";"2010";"106968,00";"2022";"1227011000,00";"2022";"22";"59";"1030000,00";"2024";"21/07/2026 15:42:53"
"1501907";"9748,00";"2010";"24383,00";"2022";"544690000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1501956";"8322,00";"2010";"19630,00";"2022";"214722000,00";"2022";"3";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502004";"7250,00";"2010";"23981,00";"2022";"293835000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502103";"49503,00";"2010";"134184,00";"2022";"1640809000,00";"2022";"10";"28";"343000,00";"2024";"21/07/2026 15:42:53"
"1502152";"12370,00";"2010";"77079,00";"2022";"16061773000,00";"2022";"49";"215";"3824000,00";"2024";"21/07/2026 15:42:53"
"1502202";"27493,00";"2010";"70394,00";"2022";"1598656000,00";"2022";"4";"81";"1995000,00";"2024";"21/07/2026 15:42:53"
"1502301";"22436,00";"2010";"56506,00";"2022";"691741000,00";"2022";"8";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502400";"75129,00";"2010";"192256,00";"2022";"5688912000,00";"2022";"14";"46";"655000,00";"2024";"21/07/2026 15:42:53"
"1502509";"7170,00";"2010";"20757,00";"2022";"293848000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
"1502608";"4073,00";"2010";"12868,00";"2022";"120635000,00";"2022";"1";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502707";"19634,00";"2010";"44617,00";"2022";"765892000,00";"2022";"33";"147";"2509000,00";"2024";"21/07/2026 15:42:53"
"1502756";"11218,00";"2010";"26881,00";"2022";"452741000,00";"2022";"17";"56";"659000,00";"2024";"21/07/2026 15:42:53"
"1502764";"4820,00";"2010";"14036,00";"2022";"431268000,00";"2022";"7";"9";"5000,00";"2024";"21/07/2026 15:42:53"
"1502772";"6468,00";"2010";"19950,00";"2022";"1503197000,00";"2022";"3";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502806";"10044,00";"2010";"33903,00";"2022";"328648000,00";"2022";"6";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502855";"4528,00";"2010";"14117,00";"2022";"171989000,00";"2022";"4";"5";"8000,00";"2024";"21/07/2026 15:42:53"
"1502905";"11302,00";"2010";"41262,00";"2022";"443371000,00";"2022";"4";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1502939";"22598,00";"2010";"58484,00";"2022";"1261538000,00";"2022";"15";"95";"2016000,00";"2024";"21/07/2026 15:42:53"
"1502954";"12434,00";"2010";"28192,00";"2022";"605964000,00";"2022";"14";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1503002";"2618,00";"2010";"8728,00";"2022";"89801000,00";"2022";"3";"7";"97000,00";"2024";"21/07/2026 15:42:53"
"1503044";"7023,00";"2010";"17898,00";"2022";"566641000,00";"2022";"18";"105";"1211000,00";"2024";"21/07/2026 15:42:53"
"1503077";"10784,00";"2010";"24703,00";"2022";"314533000,00";"2022";"5";"0";"0,00";"2024";"21/07/2026 15:42:53"
"1503093";"11608,00";"2010";"26362,00";"2022";"522757000,00";"2022";"17";"113";"2327000,00";"2024";"21/07/2026 15:42:53"
"1503101";"10259,00";"2010";"31786,00";"2022";"398199000,00";"2022";"0";"0";"0,00";"";"21/07/2026 15:42:53"
